handle_path_exec,path_found,traj_success,contact_free,door_opened,door_width,door_height,x,y,z,rot_z,state_angle,axis_pos
False,False,False,True,False,0.3184996646689734,0.6854406294039961,-0.22462121216488284,0.5920569423231694,0.36872031470199806,22.085631277406094,-9.94394654477193,-1.0
True,True,True,True,True,0.3014355816880533,0.2629862502110655,-0.6623089062046804,0.5049692855773832,0.15749312510553273,71.21867652061562,-10.513093079731606,-1.0
True,True,True,True,True,0.23035266590755016,0.21919262734196981,-0.521316675488864,0.1928190137732846,0.1355963136709849,-155.02544362892868,-13.813621614568406,-1.0
True,True,True,True,True,0.36806709406260774,0.5312532941440824,0.18206392215508072,0.7262908139140065,0.2916266470720412,59.61634790045028,-8.593853822844896,-1.0
True,True,True,True,True,0.3327847281399988,0.3250821926498839,-0.5570875289789168,0.4448530094197968,0.18854109632494195,161.74821392195219,-9.513036281855804,-1.0
False,False,False,True,False,0.2598652512235518,0.26303403125612684,-0.5903674786859722,0.10277603105570582,0.15751701562806342,-101.30136055861495,-12.218955624797516,-1.0
True,True,True,True,True,0.5283545760101286,0.2567800654650225,-0.5140053970606862,0.6601255149111376,0.15439003273251126,112.30742626239157,-5.975129600442639,-1.0
True,True,True,True,True,0.2981292429846375,0.21511132283421358,0.3807849100684586,0.18637866872037478,0.13355566141710679,80.48701605519886,-10.631035250917732,-1.0
True,True,True,True,True,0.29325681313152635,0.331653676128916,-0.3199291636409101,0.7150360265253979,0.191826838064458,73.11648593621061,-10.809776687592848,-1.0
True,True,True,True,True,0.3644772882792703,0.3591852221384314,-0.6778308908885448,0.04069319651481321,0.2055926110692157,143.56226615686273,-8.679146448498498,-1.0
True,True,True,True,True,0.3282628584943885,0.3167880386853742,0.19000458780080853,0.6797243418426633,0.1843940193426871,24.864193336485414,-9.645323075354646,-1.0
False,False,False,True,False,0.312164087090679,0.4226139218568278,0.42000884826652674,0.4212233105104589,0.23730696092841388,112.19621522183127,-10.147880666396654,-1.0
True,True,True,True,True,0.32364524651135296,0.5160821112030252,0.6911980936544508,0.44895273732812935,0.2840410556015126,-49.89699514801862,-9.784281471708166,-1.0
True,True,True,True,True,0.2716894453829487,0.5314240286672994,0.07240245959327174,0.36170096113193617,0.29171201433364974,162.27955490278208,-11.679505264141872,-1.0
False,False,False,True,False,0.33862652287660366,0.23687752817698626,-0.3298534604457964,0.38137656898391276,0.14443876408849313,-138.41502325274809,-9.347437722149431,-1.0
True,True,True,True,True,0.2125198109039996,0.7722298010333095,-0.7485555771867566,0.4706506911585587,0.4121149005166548,142.0520802550691,-14.998834841078638,-1.0
True,True,True,True,True,0.3467350139946378,0.7237038030194227,0.7312019761563753,0.5006578571958537,0.3878519015097114,-10.444963815466025,-9.126954465229796,-1.0
True,True,True,True,True,0.3484194955621194,0.38136570079521354,0.19040651751684956,0.6954450440101847,0.21668285039760676,64.88813732419405,-9.082454674749195,-1.0
True,True,True,True,True,0.22415055390893512,0.32673456514337373,0.5583248124303237,0.34972446758226117,0.18936728257168686,-56.234490936847706,-14.203747714290273,-1.0
True,True,True,True,True,0.3554097094011227,0.5688000537238992,-0.34781188265107676,0.49216172452977636,0.3104000268619496,147.0678974921389,-8.902354064428842,-1.0
True,True,True,True,True,0.21458210037472014,0.6478184815473808,0.09013290205324487,0.6582548332522831,0.3499092407736904,77.61305229752219,-14.851350254686269,-1.0
True,True,True,True,True,0.48948329994013,0.7056560979925544,-0.673050787317022,0.6686552808811387,0.3788280489962772,95.76511698760436,-6.451572310557878,-1.0
True,True,True,True,True,0.24406950125140173,0.7940817309434103,-0.272731804547811,0.5095045294994203,0.42304086547170516,137.7302204160664,-13.023204354430328,-1.0
False,False,False,True,False,0.30372894048039123,0.6228184874639454,-0.1891622003264528,0.522910583358684,0.33740924373197273,-173.53000071681475,-10.432819504396226,-1.0
True,True,True,True,True,0.22154451621528595,0.5525664668520704,0.5677111075666073,0.547173188394923,0.30228323342603525,36.33321209712636,-14.374400517082984,-1.0
True,True,True,True,True,0.2292952708544183,0.5677021991117766,-0.41951278747910536,0.5958413092320032,0.3098510995558883,149.81702867085647,-13.878595821710356,-1.0
False,False,False,True,False,0.22140174658283543,0.5986123724935233,-0.3590041144589002,0.5752585057956923,0.32530618624676166,-167.8217086381581,-14.38386946277554,-1.0
True,True,True,True,True,0.30343715500565704,0.5291815616533023,-0.6754310285994893,0.4633547385288286,0.2905907808266512,96.11119815973586,-10.442964245003987,-1.0
True,True,True,True,True,0.2562682880202908,0.4697935429224904,-0.30301024755375383,0.7273505022468958,0.26089677146124524,80.9522353330899,-12.39316583446945,-1.0
False,False,False,True,False,0.2479581423855741,0.21430637430770405,0.09885846261798759,0.5799394838058594,0.13315318715385202,167.3590894185391,-12.815461117347546,-1.0
True,True,True,True,True,0.20520808429421647,0.35390280745868863,0.5650115018816544,0.48693336789414576,0.2029514037293443,-31.66008771948833,-15.546516680537641,-1.0
