path_found,traj_success,contact_free,door_opened,door_width,door_height,x,y,z,rot_z,state_angle,axis_pos
False,False,True,False,0.3184996646689734,0.6854406294039961,-0.22462121216488284,0.5920569423231694,0.35172031470199805,22.085631277406094,-9.797476753437662,-1.0
True,True,True,True,0.3014355816880533,0.2629862502110655,-0.6623089062046804,0.5049692855773832,0.14049312510553275,71.21867652061562,-10.340450895285608,-1.0
True,True,True,True,0.23035266590755016,0.21919262734196981,-0.521316675488864,0.1928190137732846,0.1185963136709849,-155.02544362892868,-13.428771776777232,-1.0
True,True,True,True,0.36806709406260774,0.5312532941440824,0.18206392215508072,0.7262908139140065,0.2746266470720412,59.61634790045028,-8.498782514215646,-1.0
True,True,True,True,0.3327847281399988,0.3250821926498839,-0.5570875289789168,0.4448530094197968,0.17154109632494197,161.74821392195219,-9.38455624773574,-1.0
True,True,True,True,0.2598652512235518,0.26303403125612684,-0.5903674786859722,0.10277603105570582,0.14051701562806343,-101.30136055861495,-11.950192625438023,-1.0
True,True,True,True,0.5283545760101286,0.2567800654650225,-0.5140053970606862,0.6601255149111376,0.13739003273251127,112.30742626239157,-5.942900717163197,-1.0
True,True,True,True,0.34121245817975393,0.47488191236123795,-0.4008201086580495,0.46971109144042217,0.24644095618061898,117.23436200590476,-9.15673872492346,-1.0
True,True,True,True,0.2981292429846375,0.21511132283421358,0.3807849100684586,0.18637866872037478,0.11655566141710678,80.48701605519886,-10.452615261907237,-1.0
True,True,True,True,0.29325681313152635,0.331653676128916,-0.3199291636409101,0.7150360265253979,0.174826838064458,73.11648593621061,-10.622363235518602,-1.0
True,True,True,True,0.5004967618832334,0.3187793192257634,-0.7217677497625781,0.3065887498461689,0.16838965961288171,142.81871935012424,-6.271117698898662,-1.0
True,True,True,True,0.3644772882792703,0.3591852221384314,-0.6778308908885448,0.04069319651481321,0.1885926110692157,143.56226615686273,-8.58124840776243,-1.0
True,True,True,True,0.3282628584943885,0.3167880386853742,0.19000458780080853,0.6797243418426633,0.1673940193426871,24.864193336485414,-9.511483511765428,-1.0
False,False,True,False,0.312164087090679,0.4226139218568278,0.42000884826652674,0.4212233105104589,0.2203069609284139,112.19621522183127,-9.992354150819565,-1.0
True,True,True,True,0.32364524651135296,0.5160821112030252,0.6911980936544508,0.44895273732812935,0.2670410556015126,-49.89699514801862,-9.644657090085445,-1.0
False,False,True,False,0.2716894453829487,0.5314240286672994,0.07240245959327174,0.36170096113193617,0.2747120143336497,162.27955490278208,-11.444129532772497,-1.0
True,True,True,True,0.33862652287660366,0.23687752817698626,-0.3298534604457964,0.38137656898391276,0.12743876408849314,-138.41502325274809,-9.22546663214681,-1.0
False,False,True,False,0.2125198109039996,0.7722298010333095,-0.7485555771867566,0.4706506911585587,0.39511490051665477,142.0520802550691,-14.509763892208914,-1.0
True,True,True,True,0.3467350139946378,0.7237038030194227,0.7312019761563753,0.5006578571958537,0.37085190150971137,-10.444963815466025,-9.013309603816953,-1.0
True,True,True,True,0.3484194955621194,0.38136570079521354,0.19040651751684956,0.6954450440101847,0.19968285039760678,64.88813732419405,-8.97044382038527,-1.0
True,True,True,True,0.22415055390893512,0.32673456514337373,0.5583248124303237,0.34972446758226117,0.17236728257168688,-56.234490936847706,-13.786341030008742,-1.0
False,False,True,False,0.3554097094011227,0.5688000537238992,-0.34781188265107676,0.49216172452977636,0.2934000268619496,147.0678974921389,-8.796799276775266,-1.0
False,False,True,False,0.21458210037472014,0.6478184815473808,0.09013290205324487,0.6582548332522831,0.3329092407736904,77.61305229752219,-14.376120275388999,-1.0
False,False,True,False,0.48948329994013,0.7056560979925544,-0.673050787317022,0.6686552808811387,0.3618280489962772,95.76511698760436,-6.4110569224972895,-1.0
False,False,True,False,0.24406950125140173,0.7940817309434103,-0.272731804547811,0.5095045294994203,0.40604086547170515,137.7302204160664,-12.699232010188167,-1.0
False,False,True,False,0.30372894048039123,0.6228184874639454,-0.1891622003264528,0.522910583358684,0.3204092437319727,-173.53000071681475,-10.264039330786254,-1.0
False,False,True,False,0.22154451621528595,0.5525664668520704,0.5677111075666073,0.547173188394923,0.28528323342603523,36.33321209712636,-13.942218559792517,-1.0
False,False,True,False,0.2292952708544183,0.5677021991117766,-0.41951278747910536,0.5958413092320032,0.2928510995558883,149.81702867085647,-13.488440625112963,-1.0
False,False,True,False,0.22140174658283543,0.5986123724935233,-0.3590041144589002,0.5752585057956923,0.30830618624676165,-167.8217086381581,-13.950858068014677,-1.0
True,True,True,False,0.30343715500565704,0.5291815616533023,-0.6754310285994893,0.4633547385288286,0.27359078082665117,96.11119815973586,-10.273699136719774,-1.0
True,True,True,True,0.2562682880202908,0.4697935429224904,-0.30301024755375383,0.7273505022468958,0.24389677146124522,80.9522353330899,-12.113003998035564,-1.0
True,True,True,True,0.2479581423855741,0.21430637430770405,0.09885846261798759,0.5799394838058594,0.11615318715385202,167.3590894185391,-12.506387686274726,-1.0
True,True,True,True,0.20520808429421647,0.35390280745868863,0.5650115018816544,0.48693336789414576,0.18595140372934432,-31.66008771948833,-15.003818810447354,-1.0
True,True,True,True,0.21100926417202276,0.22952211240346965,-0.6288581397089492,0.1124150901534853,0.12376105620173482,-179.90981186939223,-14.60920544143204,-1.0
True,True,True,True,0.29485056840313,0.5664047594872443,-0.48785269996083613,0.41154140464901945,0.2922023797436222,114.91152263419531,-10.5662425581813,-1.0
True,True,True,True,0.21571946468223846,0.5102764132295099,-0.19660421096693548,0.6004007296415623,0.26413820661475496,34.64522524163553,-14.303441142954235,-1.0
True,True,True,True,0.4400255859412,0.34988356723149583,-0.561164422613627,0.6969480185571775,0.18394178361574792,84.05956227573404,-7.124606311834349,-1.0
True,True,True,True,0.35306918606029736,0.2752424158936393,-0.7386593719446842,0.4332764350193655,0.14662120794681965,83.26269692005343,-8.85419293091346,-1.0
False,False,True,False,0.42646959320015654,0.761051767539525,0.1486425649483436,0.39146559024937133,0.3895258837697625,135.28207315992807,-7.3486349426940265,-1.0
True,True,True,True,0.2207977236511257,0.345354513139574,0.3814940440913057,0.3784356118593927,0.181677256569787,-20.01833098439107,-13.987526103821438,-1.0
False,False,True,False,0.4715430917446256,0.6964209003538488,0.32461532638405055,0.14228913679470284,0.35721045017692443,75.51561693617427,-6.652823421789334,-1.0
False,False,True,False,0.23291040647776795,0.6420058229243759,-0.5869428890047035,0.46130232493313866,0.33000291146218796,147.31845530030125,-13.286559317735861,-1.0
False,False,True,False,0.23121752730286993,0.7534683750567821,-0.4160507996411644,0.2037989308523099,0.38573418752839106,-169.42726211882683,-13.380351539123012,-1.0
True,True,True,True,0.294197649835678,0.2947406531608693,-0.19105340998190967,0.3290209353973148,0.15637032658043465,-160.9534918336096,-10.589162645347601,-1.0
True,True,True,True,0.4505894716669274,0.28852317839157754,-0.6876630222296805,0.2257735332459862,0.15326158919578878,137.6009545562036,-6.959230157270617,-1.0
False,False,True,False,0.31137310339507124,0.6065162686796564,-0.19045056604015576,0.2858447281590855,0.3122581343398282,-175.54444667984149,-10.017224330641744,-1.0
True,True,True,True,0.2175073532471069,0.4643196878937211,-0.0865514809267165,0.5791512277888757,0.24115984394686055,46.51717445557452,-14.190636172715475,-1.0
True,True,True,True,0.32592771433174067,0.6175615911830444,0.6889694514414431,0.43599394096965394,0.3177807955915222,-35.378562179939024,-9.578371335241348,-1.0
